X,C_W1,C_W2,t,N
79.526307375584,0.0,0.0,35.83333333333348,22.0
79.35461322701377,0.0,0.0,35.87500000000014,22.0
79.21523662982426,0.0,0.0,35.916666666666806,22.0
79.01599571485282,0.0,0.0,35.95833333333347,22.0
78.85089489435937,0.0,0.0,36.000000000000135,22.0
78.75589557468746,0.0,0.0,36.0416666666668,22.0
78.59864509263045,0.0,0.0,36.083333333333464,22.0
78.37268306903957,0.0,0.0,36.12500000000013,22.0
78.1825616605894,0.0,0.0,36.16666666666679,22.0
78.01158367134916,0.0,0.0,36.20833333333346,22.0
77.82896015033074,0.0,0.0,36.25000000000012,22.0
77.69747059942193,0.0,0.0,36.291666666666785,22.0
83.24156849774765,0.0,0.0,36.33333333333345,21.0
87.12109378077281,0.0,0.0,36.375000000000114,21.0
89.7163908838729,0.0,0.0,36.41666666666678,21.0
91.45632324697272,0.0,0.0,36.45833333333344,21.0
92.61015488111114,0.0,0.0,36.50000000000011,21.0
93.26455541072062,0.0,0.0,36.54166666666677,21.0
93.51289160354601,0.0,0.0,36.583333333333435,21.0
93.51490175102542,0.0,0.0,36.6250000000001,21.0
93.31132850427552,0.0,0.0,36.666666666666764,21.0
92.92995810866452,0.0,0.0,36.70833333333343,21.0
92.47386437677444,0.0,0.0,36.75000000000009,21.0
91.97248597518633,0.0,0.0,36.79166666666676,21.0
91.41629833534388,0.0,0.0,36.83333333333342,21.0
90.78503195318056,0.0,0.0,36.875000000000085,21.0
90.19378316955031,0.0,0.0,36.91666666666675,21.0
89.62923139007434,0.0,0.0,36.958333333333414,21.0
89.02740309709397,0.0,0.0,37.00000000000008,21.0
88.42642484672983,0.0,0.0,37.04166666666674,21.0
87.88365833461225,0.0,0.0,37.08333333333341,21.0
87.34704528955493,0.0,0.0,37.12500000000007,21.0
86.83298202375441,0.0,0.0,37.166666666666735,21.0
86.34209764549978,0.0,0.0,37.2083333333334,21.0
85.88510362076492,0.0,0.0,37.250000000000064,21.0
85.3875598589166,0.0,0.0,37.29166666666673,21.0
84.8882769137013,0.0,0.0,37.33333333333339,21.0
84.4670336583437,0.0,0.0,37.37500000000006,21.0
83.99245713476576,0.0,0.0,37.41666666666672,21.0
83.56351454033091,0.0,0.0,37.458333333333385,21.0
83.19113010004897,0.0,0.0,37.50000000000005,21.0
82.83763605610957,0.0,0.0,37.541666666666714,21.0
82.47050375350032,0.0,0.0,37.58333333333338,21.0
82.08185802835814,0.0,0.0,37.62500000000004,21.0
81.74477745306952,0.0,0.0,37.66666666666671,21.0
81.43228542013304,0.0,0.0,37.70833333333337,21.0
81.16208950584193,0.0,0.0,37.750000000000036,21.0
80.90035154545461,0.0,0.0,37.7916666666667,21.0
80.69248273060762,0.0,0.0,37.833333333333364,21.0
80.46632716729424,0.0,0.0,37.87500000000003,21.0
80.2072321688515,0.0,0.0,37.91666666666669,21.0
79.9790797529881,0.0,0.0,37.95833333333336,21.0
79.7501255906006,0.0,0.0,38.00000000000002,21.0
79.46372552870608,0.0,0.0,38.041666666666686,21.0
79.22261809363124,0.0,0.0,38.08333333333335,21.0
79.00843017354217,0.0,0.0,38.125000000000014,21.0
78.77494447671594,0.0,0.0,38.16666666666668,21.0
78.55950195459877,0.0,0.0,38.20833333333334,21.0
78.32155494291388,0.0,0.0,38.25000000000001,21.0
78.11455486975889,0.0,0.0,38.29166666666667,21.0
77.95848405059671,0.0,0.0,38.333333333333336,21.0
77.72820119033823,0.0,0.0,38.375,21.0
77.51665689009047,0.0,0.0,38.416666666666664,21.0
77.30315530138454,0.0,0.0,38.45833333333333,21.0
77.13344164796621,0.0,0.0,38.49999999999999,21.0
77.00435499028819,0.0,0.0,38.54166666666666,21.0
76.84971539406855,0.0,0.0,38.58333333333332,21.0
76.70143809814012,0.0,0.0,38.624999999999986,21.0
76.54436539341526,0.0,0.0,38.66666666666665,21.0
76.39138214686666,0.0,0.0,38.708333333333314,21.0
76.25493233600194,0.0,0.0,38.74999999999998,21.0
76.19691015196355,0.0,0.0,38.79166666666664,21.0
76.09496585663172,0.0,0.0,38.83333333333331,21.0
